Images,Blue_green_channels_dehazing_and_red_channel_correction,Color_Balance_and_fusion,Integrated_Color_Model,Low_Complexity_Enhancement_Based_on_Dark_Channel
Valentine_8.png,2.654309612563652,3.513997546320744,3.273054690023879,0.9810764451744403
Valentine_9.png,2.065761940157665,3.3459476033860094,2.8165794622521627,2.0906980873307806
Valentine_10.png,2.9628203413168253,3.5142495719739895,3.0567651272009124,2.572676242493985
Valentine_11.png,2.9915149958807907,3.528108104139263,3.06211443730423,2.2967183693092137
Valentine_12.png,3.08991423598134,3.511156894313761,3.110839805176245,1.3294381465780016
Valentine_59.png,2.489968108826252,3.1875356731451436,2.728457068483524,1.1663125757925934
Valentine_60.png,2.736155324609445,3.2899632049682976,2.7446221616440205,1.3605362906574874
Valentine_61.png,2.8556105437011094,3.2628256996527014,2.923462907100663,1.5592474071453852
Valentine_62.png,2.340761167437281,3.3044635255782975,2.7831287537464453,1.5786856793504518
Valentine_63.png,2.0831518734752086,3.319609639430311,2.4503108493665318,1.2423078819846143
Valentine_124.png,2.4119681925017415,3.3424487100938745,2.648532262066528,0.5019313007291627
Valentine_125.png,2.7270177663777853,3.4005748580288304,3.0026295300120562,2.2008952193760716
Valentine_126.png,2.3825720819531124,3.3391111033284346,2.59953284489073,0.8970980030580086
Valentine_127.png,2.7263977726036646,3.3447202018382205,2.9467120707638594,1.0038250812338796
Valentine_128.png,2.7950771168046185,3.373175040334181,2.942364306640579,1.2166066890605265
Valentine_129.png,2.4739995240542223,3.3415684523010496,2.7423941831421503,0.7954996936145716
Valentine_130.png,2.9308532018564524,3.4165861637169335,3.0881242734313354,1.5858737127323306
Valentine_131.png,2.875657362255894,3.4164804470704757,3.084811617068237,1.4023669702307442
Valentine_190.png,2.7886129141735156,3.585706460284367,2.8410290818170685,1.1646339636725573
Valentine_191.png,2.880085404036195,3.449094715017839,2.9936628452538363,1.20658108307888
Valentine_192.png,2.598123429375879,3.5498829428343726,3.1910306569218214,1.4670780822114162
Valentine_193.png,2.8790586342792728,3.555908263561719,2.9213598562668635,1.3336284843835384
Valentine_194.png,2.8616195756918996,3.5696754131582136,2.8828340296633472,1.429461118620792
Valentine_195.png,2.887029311630643,3.5378934866587417,2.9276886422901747,1.2696783187168563
Valentine_196.png,2.6301489864409113,3.4290402495749577,2.8177166146051342,1.4729913853211662
Valentine_197.png,2.6907293795618283,3.433471240475871,2.8248148917911577,1.455818788660659
Valentine_198.png,2.5816740058230994,3.403433631068723,2.8519475299397343,1.511586739142808
Valentine_199.png,2.8304775527893007,3.453867974872157,2.8881845718679906,1.4945184808942107
Valentine_200.png,2.7359605747873905,3.451767231213751,2.8308323993058364,1.4084992914228305
Valentine_201.png,2.7824963259132964,3.4295725807338973,2.7851315442748072,1.3038843535731808
Valentine_202.png,2.6164899271175512,3.474991026190845,2.8591571834314715,1.3919287538164453
Valentine_203.png,2.6939432894472315,3.4804121406244306,2.8558278502558703,1.3519003126636193
Valentine_204.png,2.625974865216437,3.4386252000028543,2.956339241854506,1.3289106571020741
